datetime,traffic_volume,Trucks,Cars,Bikes,taxi,Bus,Auto,others,Location
07-10-2012 23:00,959,28,306,287,28,28,278,4,Rabale
08-10-2012 00:00,455,13,145,136,13,13,131,4,Rabale
08-10-2012 01:00,336,10,107,100,10,10,97,2,Rabale
08-10-2012 02:00,265,7,84,79,7,7,76,5,Rabale
08-10-2012 03:00,314,9,100,94,9,9,91,2,Rabale
08-10-2012 04:00,779,23,249,233,23,23,225,3,Rabale
08-10-2012 05:00,2571,77,822,771,77,77,745,2,Rabale
08-10-2012 06:00,5563,166,1780,1668,166,166,1613,4,Rabale
08-10-2012 07:00,6676,200,2136,2002,200,200,1936,2,Rabale
08-10-2012 08:00,5966,178,1909,1789,178,178,1730,4,Rabale
08-10-2012 09:00,4832,144,1546,1449,144,144,1401,4,Rabale
08-10-2012 10:00,4395,131,1406,1318,131,131,1274,4,Rabale
08-10-2012 11:00,4411,132,1411,1323,132,132,1279,2,Rabale
08-10-2012 12:00,4648,139,1487,1394,139,139,1347,3,Rabale
08-10-2012 13:00,4602,138,1472,1380,138,138,1334,2,Rabale
08-10-2012 14:00,5125,153,1640,1537,153,153,1486,3,Rabale
08-10-2012 15:00,5502,165,1760,1650,165,165,1595,2,Rabale
08-10-2012 16:00,5979,179,1913,1793,179,179,1733,3,Rabale
08-10-2012 17:00,5663,169,1812,1698,169,169,1642,4,Rabale
08-10-2012 18:00,4259,127,1362,1277,127,127,1235,4,Rabale
08-10-2012 19:00,3069,92,982,920,92,92,890,1,Rabale
08-10-2012 20:00,2378,71,760,713,71,71,689,3,Rabale
08-10-2012 21:00,2030,60,649,609,60,60,588,4,Rabale
08-10-2012 22:00,1400,42,448,420,42,42,406,0,Rabale
08-10-2012 23:00,917,27,293,275,27,27,265,3,Rabale
09-10-2012 00:00,515,15,164,154,15,15,149,3,Rabale
09-10-2012 01:00,302,9,96,90,9,9,87,2,Rabale
09-10-2012 02:00,251,7,80,75,7,7,72,3,Rabale
09-10-2012 04:00,798,23,255,239,23,23,231,4,Rabale
09-10-2012 05:00,2678,80,856,803,80,80,776,3,Rabale
09-10-2012 06:00,5733,171,1834,1719,171,171,1662,5,Rabale
09-10-2012 07:00,6449,193,2063,1934,193,193,1870,3,Rabale
09-10-2012 08:00,5765,172,1844,1729,172,172,1671,5,Rabale
09-10-2012 09:00,5599,167,1791,1679,167,167,1623,5,Rabale
09-10-2012 10:00,4534,136,1450,1360,136,136,1314,2,Rabale
09-10-2012 11:00,4691,140,1501,1407,140,140,1360,3,Rabale
09-10-2012 12:00,5067,152,1621,1520,152,152,1469,1,Rabale
09-10-2012 13:00,5030,150,1609,1509,150,150,1458,4,Rabale
09-10-2012 14:00,5300,159,1696,1590,159,159,1537,0,Rabale
09-10-2012 15:00,5777,173,1848,1733,173,173,1675,2,Rabale
09-10-2012 16:00,6349,190,2031,1904,190,190,1841,3,Rabale
09-10-2012 17:00,6127,183,1960,1838,183,183,1776,4,Rabale
09-10-2012 18:00,4460,133,1427,1338,133,133,1293,3,Rabale
09-10-2012 19:00,3418,102,1093,1025,102,102,991,3,Rabale
09-10-2012 20:00,2775,83,888,832,83,83,804,2,Rabale
09-10-2012 21:00,2306,69,737,691,69,69,668,3,Rabale
09-10-2012 22:00,1846,55,590,553,55,55,535,3,Rabale
09-10-2012 23:00,947,28,303,284,28,28,274,2,Rabale
10-10-2012 00:00,494,14,158,148,14,14,143,3,Rabale
10-10-2012 01:00,332,9,106,99,9,9,96,4,Rabale
10-10-2012 02:00,261,7,83,78,7,7,75,4,Rabale
10-10-2012 03:00,361,10,115,108,10,10,104,4,Rabale
10-10-2012 06:00,5875,176,1880,1762,176,176,1703,2,Rabale
10-10-2012 07:00,6793,203,2173,2037,203,203,1969,5,Rabale
10-10-2012 07:00,6793,203,2173,2037,203,203,1969,5,Rabale
10-10-2012 08:00,6283,188,2010,1884,188,188,1822,3,Rabale
10-10-2012 08:00,6283,188,2010,1884,188,188,1822,3,Rabale
10-10-2012 09:00,5680,170,1817,1704,170,170,1647,2,Rabale
10-10-2012 09:00,5680,170,1817,1704,170,170,1647,2,Rabale
10-10-2012 10:00,4632,138,1482,1389,138,138,1343,4,Rabale
10-10-2012 11:00,4887,146,1563,1466,146,146,1417,3,Rabale
10-10-2012 12:00,5030,150,1609,1509,150,150,1458,4,Rabale
10-10-2012 13:00,5067,152,1621,1520,152,152,1469,1,Rabale
10-10-2012 14:00,5227,156,1672,1568,156,156,1515,4,Rabale
10-10-2012 15:00,5610,168,1795,1683,168,168,1626,2,Rabale
10-10-2012 16:00,6286,188,2011,1885,188,188,1822,4,Rabale
10-10-2012 18:00,4775,143,1528,1432,143,143,1384,2,Rabale
10-10-2012 19:00,3340,100,1068,1002,100,100,968,2,Rabale
10-10-2012 20:00,3013,90,964,903,90,90,873,3,Rabale
10-10-2012 21:00,2603,78,832,780,78,78,754,3,Rabale
10-10-2012 22:00,1910,57,611,573,57,57,553,2,Rabale
10-10-2012 23:00,1037,31,331,311,31,31,300,2,Rabale
11-10-2012 01:00,347,10,111,104,10,10,100,2,Rabale
11-10-2012 03:00,350,10,112,105,10,10,101,2,Rabale
11-10-2012 04:00,850,25,272,255,25,25,246,2,Rabale
11-10-2012 05:00,2791,83,893,837,83,83,809,3,Rabale
11-10-2012 06:00,5809,174,1858,1742,174,174,1684,3,Rabale
11-10-2012 07:00,6798,203,2175,2039,203,203,1971,4,Rabale
11-10-2012 08:00,6304,189,2017,1891,189,189,1828,1,Rabale
11-10-2012 09:00,5291,158,1693,1587,158,158,1534,3,Rabale
11-10-2012 10:00,4638,139,1484,1391,139,139,1345,1,Rabale
11-10-2012 14:00,5557,166,1778,1667,166,166,1611,3,Rabale
11-10-2012 15:00,5818,174,1861,1745,174,174,1687,3,Rabale
11-10-2012 16:00,6272,188,2007,1881,188,188,1818,2,Rabale
11-10-2012 17:00,5944,178,1902,1783,178,178,1723,2,Rabale
11-10-2012 18:00,4949,148,1583,1484,148,148,1435,3,Rabale
11-10-2012 19:00,3511,105,1123,1053,105,105,1018,2,Rabale
11-10-2012 20:00,3039,91,972,911,91,91,881,2,Rabale
11-10-2012 21:00,2679,80,857,803,80,80,776,3,Rabale
11-10-2012 22:00,2094,62,670,628,62,62,607,3,Rabale
11-10-2012 23:00,1284,38,410,385,38,38,372,3,Rabale
12-10-2012 00:00,630,18,201,189,18,18,182,4,Rabale
12-10-2012 01:00,410,12,131,123,12,12,118,2,Rabale
12-10-2012 02:00,331,9,105,99,9,9,95,5,Rabale
12-10-2012 03:00,372,11,119,111,11,11,107,2,Rabale
12-10-2012 04:00,739,22,236,221,22,22,214,2,Rabale
12-10-2012 05:00,2561,76,819,768,76,76,742,4,Rabale
12-10-2012 06:00,5586,167,1787,1675,167,167,1619,4,Rabale
12-10-2012 07:00,6992,209,2237,2097,209,209,2027,4,Rabale
12-10-2012 08:00,5860,175,1875,1758,175,175,1699,3,Rabale
12-10-2012 09:00,5230,156,1673,1569,156,156,1516,4,Rabale
12-10-2012 10:00,4864,145,1556,1459,145,145,1410,4,Rabale
12-10-2012 11:00,5146,154,1646,1543,154,154,1492,3,Rabale
12-10-2012 12:00,5526,165,1768,1657,165,165,1602,4,Rabale
12-10-2012 13:00,5383,161,1722,1614,161,161,1561,3,Rabale
12-10-2012 14:00,5758,172,1842,1727,172,172,1669,4,Rabale
12-10-2012 15:00,5889,176,1884,1766,176,176,1707,4,Rabale
12-10-2012 16:00,6057,181,1938,1817,181,181,1756,3,Rabale
12-10-2012 17:00,6028,180,1928,1808,180,180,1748,4,Rabale
12-10-2012 18:00,5257,157,1682,1577,157,157,1524,3,Rabale
12-10-2012 23:00,1897,56,607,569,56,56,550,3,Rabale
13-10-2012 00:00,1335,40,427,400,40,40,387,1,Rabale
13-10-2012 01:00,769,23,246,230,23,23,223,1,Rabale
13-10-2012 02:00,570,17,182,171,17,17,165,1,Rabale
13-10-2012 03:00,413,12,132,123,12,12,119,3,Rabale
13-10-2012 04:00,399,11,127,119,11,11,115,5,Rabale
13-10-2012 05:00,740,22,236,222,22,22,214,2,Rabale
13-10-2012 06:00,1420,42,454,426,42,42,411,3,Rabale
13-10-2012 07:00,2220,66,710,666,66,66,643,3,Rabale
13-10-2012 08:00,3479,104,1113,1043,104,104,1008,3,Rabale
13-10-2012 09:00,4546,136,1454,1363,136,136,1318,3,Rabale
13-10-2012 10:00,4579,137,1465,1373,137,137,1327,3,Rabale
13-10-2012 11:00,4438,133,1420,1331,133,133,1287,1,Rabale
13-10-2012 12:00,4623,138,1479,1386,138,138,1340,4,Rabale
13-10-2012 13:00,4440,133,1420,1332,133,133,1287,2,Rabale
13-10-2012 14:00,4495,134,1438,1348,134,134,1303,4,Rabale
13-10-2012 15:00,4483,134,1434,1344,134,134,1300,3,Rabale
13-10-2012 16:00,4591,137,1469,1377,137,137,1331,3,Rabale
13-10-2012 17:00,4477,134,1432,1343,134,134,1298,2,Rabale
13-10-2012 18:00,4221,126,1350,1266,126,126,1224,3,Rabale
13-10-2012 19:00,3672,110,1175,1101,110,110,1064,2,Rabale
13-10-2012 20:00,3015,90,964,904,90,90,874,3,Rabale
13-10-2012 21:00,2769,83,886,830,83,83,803,1,Rabale
13-10-2012 22:00,2875,86,920,862,86,86,833,2,Rabale
13-10-2012 23:00,1931,57,617,579,57,57,559,5,Rabale
14-10-2012 00:00,1309,39,418,392,39,39,379,3,Rabale
14-10-2012 01:00,870,26,278,261,26,26,252,1,Rabale
14-10-2012 02:00,654,19,209,196,19,19,189,3,Rabale
14-10-2012 03:00,364,10,116,109,10,10,105,4,Rabale
14-10-2012 04:00,262,7,83,78,7,7,75,5,Rabale
14-10-2012 05:00,505,15,161,151,15,15,146,2,Rabale
14-10-2012 06:00,861,25,275,258,25,25,249,4,Rabale
14-10-2012 07:00,1132,33,362,339,33,33,328,4,Rabale
14-10-2012 08:00,1797,53,575,539,53,53,521,3,Rabale
14-10-2012 09:00,2685,80,859,805,80,80,778,3,Rabale
14-10-2012 09:00,2685,80,859,805,80,80,778,3,Rabale
14-10-2012 09:00,2685,80,859,805,80,80,778,3,Rabale
14-10-2012 10:00,3370,101,1078,1011,101,101,977,1,Rabale
14-10-2012 10:00,3370,101,1078,1011,101,101,977,1,Rabale
14-10-2012 11:00,3662,109,1171,1098,109,109,1061,5,Rabale
14-10-2012 11:00,3662,109,1171,1098,109,109,1061,5,Rabale
14-10-2012 12:00,4076,122,1304,1222,122,122,1182,2,Rabale
14-10-2012 12:00,4076,122,1304,1222,122,122,1182,2,Rabale
14-10-2012 12:00,4076,122,1304,1222,122,122,1182,2,Rabale
14-10-2012 13:00,4128,123,1320,1238,123,123,1197,4,Rabale
14-10-2012 13:00,4128,123,1320,1238,123,123,1197,4,Rabale
14-10-2012 13:00,4128,123,1320,1238,123,123,1197,4,Rabale
14-10-2012 14:00,4358,130,1394,1307,130,130,1263,4,Rabale
14-10-2012 14:00,4358,130,1394,1307,130,130,1263,4,Rabale
14-10-2012 14:00,4358,130,1394,1307,130,130,1263,4,Rabale
14-10-2012 15:00,4342,130,1389,1302,130,130,1259,2,Rabale
14-10-2012 15:00,4342,130,1389,1302,130,130,1259,2,Rabale
14-10-2012 16:00,4234,127,1354,1270,127,127,1227,2,Rabale
14-10-2012 17:00,4271,128,1366,1281,128,128,1238,2,Rabale
14-10-2012 17:00,4271,128,1366,1281,128,128,1238,2,Rabale
14-10-2012 18:00,4080,122,1305,1224,122,122,1183,2,Rabale
14-10-2012 19:00,3453,103,1104,1035,103,103,1001,4,Rabale
14-10-2012 20:00,2718,81,869,815,81,81,788,3,Rabale
14-10-2012 21:00,2439,73,780,731,73,73,707,2,Rabale
14-10-2012 22:00,1819,54,582,545,54,54,527,3,Rabale
14-10-2012 23:00,1002,30,320,300,30,30,290,2,Rabale
14-10-2012 23:00,1002,30,320,300,30,30,290,2,Rabale
15-10-2012 00:00,542,16,173,162,16,16,157,2,Rabale
15-10-2012 00:00,542,16,173,162,16,16,157,2,Rabale
15-10-2012 01:00,303,9,96,90,9,9,87,3,Rabale
15-10-2012 02:00,239,7,76,71,7,7,69,2,Rabale
15-10-2012 03:00,335,10,107,100,10,10,97,1,Rabale
15-10-2012 03:00,335,10,107,100,10,10,97,1,Rabale
15-10-2012 04:00,810,24,259,243,24,24,234,2,Rabale
15-10-2012 04:00,810,24,259,243,24,24,234,2,Rabale
15-10-2012 05:00,2606,78,833,781,78,78,755,3,Rabale
15-10-2012 05:00,2606,78,833,781,78,78,755,3,Rabale
15-10-2012 06:00,5714,171,1828,1714,171,171,1657,2,Rabale
15-10-2012 07:00,6798,203,2175,2039,203,203,1971,4,Rabale
15-10-2012 08:00,6114,183,1956,1834,183,183,1773,2,Rabale
15-10-2012 09:00,5094,152,1630,1528,152,152,1477,3,Rabale
15-10-2012 10:00,4473,134,1431,1341,134,134,1297,2,Rabale
15-10-2012 11:00,4529,135,1449,1358,135,135,1313,4,Rabale
15-10-2012 12:00,4823,144,1543,1446,144,144,1398,4,Rabale
15-10-2012 13:00,4872,146,1559,1461,146,146,1412,2,Rabale
15-10-2012 14:00,5238,157,1676,1571,157,157,1519,1,Rabale
15-10-2012 15:00,5584,167,1786,1675,167,167,1619,3,Rabale
15-10-2012 16:00,6246,187,1998,1873,187,187,1811,3,Rabale
15-10-2012 17:00,5957,178,1906,1787,178,178,1727,3,Rabale
15-10-2012 18:00,4535,136,1451,1360,136,136,1315,1,Rabale
15-10-2012 19:00,3234,97,1034,970,97,97,937,2,Rabale
15-10-2012 20:00,2677,80,856,803,80,80,776,2,Rabale
15-10-2012 21:00,2077,62,664,623,62,62,602,2,Rabale
15-10-2012 22:00,1380,41,441,414,41,41,400,2,Rabale
15-10-2012 23:00,927,27,296,278,27,27,268,4,Rabale
16-10-2012 00:00,500,15,160,150,15,15,145,0,Rabale
16-10-2012 01:00,324,9,103,97,9,9,93,4,Rabale
16-10-2012 02:00,257,7,82,77,7,7,74,3,Rabale
16-10-2012 03:00,354,10,113,106,10,10,102,3,Rabale
16-10-2012 04:00,769,23,246,230,23,23,223,1,Rabale
16-10-2012 05:00,2769,83,886,830,83,83,803,1,Rabale
16-10-2012 06:00,5789,173,1852,1736,173,173,1678,4,Rabale
16-10-2012 07:00,7055,211,2257,2116,211,211,2045,4,Rabale
16-10-2012 08:00,6408,192,2050,1922,192,192,1858,2,Rabale
16-10-2012 09:00,5254,157,1681,1576,157,157,1523,3,Rabale
16-10-2012 10:00,4547,136,1455,1364,136,136,1318,2,Rabale
16-10-2012 11:00,4784,143,1530,1435,143,143,1387,3,Rabale
16-10-2012 12:00,5015,150,1604,1504,150,150,1454,3,Rabale
16-10-2012 13:00,5057,151,1618,1517,151,151,1466,3,Rabale
16-10-2012 14:00,5430,162,1737,1629,162,162,1574,4,Rabale
16-10-2012 15:00,5813,174,1860,1743,174,174,1685,3,Rabale
16-10-2012 16:00,6496,194,2078,1948,194,194,1883,5,Rabale
16-10-2012 17:00,6429,192,2057,1928,192,192,1864,4,Rabale
16-10-2012 18:00,5142,154,1645,1542,154,154,1491,2,Rabale
16-10-2012 19:00,3311,99,1059,993,99,99,960,2,Rabale
16-10-2012 20:00,2777,83,888,833,83,83,805,2,Rabale
16-10-2012 21:00,2331,69,745,699,69,69,675,5,Rabale
16-10-2012 22:00,1767,53,565,530,53,53,512,1,Rabale
16-10-2012 23:00,1093,32,349,327,32,32,316,5,Rabale
17-10-2012 00:00,554,16,177,166,16,16,160,3,Rabale
17-10-2012 01:00,333,9,106,99,9,9,96,5,Rabale
17-10-2012 02:00,267,8,85,80,8,8,77,1,Rabale
17-10-2012 03:00,358,10,114,107,10,10,103,4,Rabale
17-10-2012 04:00,777,23,248,233,23,23,225,2,Rabale
17-10-2012 05:00,2732,81,874,819,81,81,792,4,Rabale
17-10-2012 06:00,5637,169,1803,1691,169,169,1634,2,Rabale
17-10-2012 07:00,5564,166,1780,1669,166,166,1613,4,Rabale
17-10-2012 08:00,6274,188,2007,1882,188,188,1819,2,Rabale
17-10-2012 09:00,5403,162,1728,1620,162,162,1566,3,Rabale
17-10-2012 09:00,5403,162,1728,1620,162,162,1566,3,Rabale
17-10-2012 10:00,4680,140,1497,1404,140,140,1357,2,Rabale
17-10-2012 11:00,4642,139,1485,1392,139,139,1346,2,Rabale
17-10-2012 12:00,4979,149,1593,1493,149,149,1443,3,Rabale
17-10-2012 13:00,4851,145,1552,1455,145,145,1406,3,Rabale
17-10-2012 14:00,4291,128,1373,1287,128,128,1244,3,Rabale
17-10-2012 15:00,4714,141,1508,1414,141,141,1367,2,Rabale
17-10-2012 16:00,6723,201,2151,2016,201,201,1949,4,Rabale
17-10-2012 17:00,6180,185,1977,1854,185,185,1792,2,Rabale
17-10-2012 18:00,4843,145,1549,1452,145,145,1404,3,Rabale
17-10-2012 19:00,3435,103,1099,1030,103,103,996,1,Rabale
17-10-2012 20:00,2921,87,934,876,87,87,847,3,Rabale
17-10-2012 21:00,2763,82,884,828,82,82,801,4,Rabale
17-10-2012 22:00,1930,57,617,579,57,57,559,4,Rabale
17-10-2012 23:00,1160,34,371,348,34,34,336,3,Rabale
18-10-2012 00:00,654,19,209,196,19,19,189,3,Rabale
18-10-2012 01:00,374,11,119,112,11,11,108,2,Rabale
18-10-2012 02:00,301,9,96,90,9,9,87,1,Rabale
18-10-2012 03:00,397,11,127,119,11,11,115,3,Rabale
18-10-2012 04:00,794,23,254,238,23,23,230,3,Rabale
18-10-2012 05:00,2564,76,820,769,76,76,743,4,Rabale
18-10-2012 06:00,5358,160,1714,1607,160,160,1553,4,Rabale
18-10-2012 07:00,6441,193,2061,1932,193,193,1867,2,Rabale
18-10-2012 08:00,5536,166,1771,1660,166,166,1605,2,Rabale
18-10-2012 09:00,5256,157,1681,1576,157,157,1524,4,Rabale
18-10-2012 10:00,4619,138,1478,1385,138,138,1339,3,Rabale
18-10-2012 11:00,5107,153,1634,1532,153,153,1481,1,Rabale
18-10-2012 12:00,5147,154,1647,1544,154,154,1492,2,Rabale
18-10-2012 13:00,5283,158,1690,1584,158,158,1532,3,Rabale
18-10-2012 14:00,5704,171,1825,1711,171,171,1654,1,Rabale
18-10-2012 15:00,5887,176,1883,1766,176,176,1707,3,Rabale
18-10-2012 16:00,6307,189,2018,1892,189,189,1829,1,Rabale
18-10-2012 17:00,5953,178,1904,1785,178,178,1726,4,Rabale
18-10-2012 18:00,4519,135,1446,1355,135,135,1310,3,Rabale
18-10-2012 19:00,3427,102,1096,1028,102,102,993,4,Rabale
18-10-2012 20:00,2921,87,934,876,87,87,847,3,Rabale
18-10-2012 21:00,2649,79,847,794,79,79,768,3,Rabale
18-10-2012 22:00,2005,60,641,601,60,60,581,2,Rabale
18-10-2012 23:00,1177,35,376,353,35,35,341,2,Rabale
19-10-2012 00:00,699,20,223,209,20,20,202,5,Rabale
19-10-2012 01:00,436,13,139,130,13,13,126,2,Rabale
19-10-2012 02:00,353,10,112,105,10,10,102,4,Rabale
19-10-2012 02:00,353,10,112,105,10,10,102,4,Rabale
19-10-2012 03:00,399,11,127,119,11,11,115,5,Rabale
